Date,Temperature,Snowfall,Activity,Visitors,Rating
2023-12-07 00:00:00,-2.4,1.8,Snowboarding,119,5
2023-12-07 01:00:00,2.8,0.3,Skiing,115,5
2023-12-07 02:00:00,-17.4,0.0,Snowboarding,55,4
2023-12-07 03:00:00,-18.2,0.5,Ice Skating,10,4
2023-12-07 04:00:00,0.2,7.9,Snowboarding,153,3
2023-12-07 05:00:00,-2.0,16.3,Ice Skating,34,1
2023-12-07 06:00:00,-2.5,2.8,Snowboarding,71,1
2023-12-07 07:00:00,-1.5,3.6,Ice Skating,91,3
2023-12-07 08:00:00,,0.8,Skiing,89,5
2023-12-07 09:00:00,-2.7,4.0,Snowboarding,153,4
2023-12-07 10:00:00,-2.1,0.8,Skiing,100,2
2023-12-07 11:00:00,-12.1,4.7,Ice Skating,130,1
2023-12-07 12:00:00,13.7,13.5,Snowboarding,171,4
2023-12-07 13:00:00,-0.3,1.1,Snowboarding,62,1
2023-12-07 14:00:00,-16.9,7.2,Snowboarding,160,5
2023-12-07 15:00:00,1.6,0.1,Skiing,180,5
2023-12-07 16:00:00,-14.7,2.4,Ice Skating,53,3
2023-12-07 17:00:00,2.9,0.6,Skiing,41,3
2023-12-07 18:00:00,6.6,2.2,Snowboarding,32,1
2023-12-07 19:00:00,-13.2,1.0,Ice Skating,157,1
2023-12-07 20:00:00,4.6,2.3,Ice Skating,28,4
2023-12-07 21:00:00,-0.9,2.7,Skiing,38,3
2023-12-07 22:00:00,,1.8,Skiing,155,5
2023-12-07 23:00:00,14.0,5.3,Snowboarding,78,4
2023-12-08 00:00:00,-7.5,12.6,Snowboarding,149,4
2023-12-08 01:00:00,-12.5,2.6,Snowboarding,19,2
2023-12-08 02:00:00,,1.1,Snowboarding,120,5
2023-12-08 03:00:00,-13.2,1.6,Ice Skating,46,4
2023-12-08 04:00:00,-5.8,9.6,Snowboarding,90,2
2023-12-08 05:00:00,-1.6,4.2,Snowboarding,105,3
2023-12-08 06:00:00,-2.2,3.0,Snowboarding,64,5
2023-12-08 07:00:00,3.3,0.8,Skiing,141,3
2023-12-08 08:00:00,-4.9,3.0,Skiing,137,2
2023-12-08 09:00:00,,1.6,Skiing,72,5
2023-12-08 10:00:00,-7.6,14.3,Snowboarding,21,1
2023-12-08 11:00:00,22.2,10.8,Ice Skating,155,1
2023-12-08 12:00:00,1.3,0.4,Snowboarding,17,1
2023-12-08 13:00:00,-13.6,3.6,Skiing,41,4
2023-12-08 14:00:00,-15.7,1.3,Skiing,58,1
2023-12-08 15:00:00,-0.2,2.6,Snowboarding,113,4
2023-12-08 16:00:00,-7.2,10.5,Ice Skating,196,4
2023-12-08 17:00:00,2.1,3.7,Ice Skating,96,2
2023-12-08 18:00:00,-0.3,2.0,Ice Skating,108,1
2023-12-08 19:00:00,-5.7,1.2,Skiing,176,5
2023-12-08 20:00:00,-13.5,8.1,Skiing,59,4
2023-12-08 21:00:00,-20.1,4.9,Ice Skating,163,2
2023-12-08 22:00:00,,3.2,Snowboarding,160,4
2023-12-08 23:00:00,3.6,1.2,Ice Skating,105,5
2023-12-09 00:00:00,-2.9,2.0,Snowboarding,72,5
2023-12-09 01:00:00,-17.5,16.1,Skiing,176,1
2023-12-09 02:00:00,-3.3,3.7,Skiing,75,4
2023-12-09 03:00:00,,2.6,Skiing,112,5
2023-12-09 04:00:00,-13.8,3.7,Ice Skating,55,3
2023-12-09 05:00:00,-3.5,7.5,Ice Skating,152,5
2023-12-09 06:00:00,-4.4,2.1,Skiing,25,5
2023-12-09 07:00:00,-16.4,1.0,Skiing,129,4
2023-12-09 08:00:00,-1.4,4.4,Skiing,99,5
2023-12-09 09:00:00,0.6,5.5,Ice Skating,81,2
2023-12-09 10:00:00,5.8,6.2,Ice Skating,25,5
2023-12-09 11:00:00,5.5,10.7,Skiing,94,3
2023-12-09 12:00:00,-18.8,2.3,Ice Skating,48,5
2023-12-09 13:00:00,-14.4,0.4,Ice Skating,148,1
2023-12-09 14:00:00,0.2,15.9,Ice Skating,45,4
2023-12-09 15:00:00,0.1,2.9,Ice Skating,27,3
2023-12-09 16:00:00,0.2,4.9,Skiing,160,2
2023-12-09 17:00:00,33.5,5.5,Skiing,86,5
2023-12-09 18:00:00,0.7,4.0,Ice Skating,58,5
2023-12-09 19:00:00,,1.1,Skiing,179,2
2023-12-09 20:00:00,4.5,7.0,Skiing,112,5
2023-12-09 21:00:00,1.5,8.1,Skiing,53,1
2023-12-09 22:00:00,,4.0,Snowboarding,118,3
2023-12-09 23:00:00,2.6,3.4,Skiing,138,5
2023-12-10 00:00:00,-12.7,0.6,Skiing,16,2
2023-12-10 01:00:00,-7.4,0.4,Ice Skating,57,2
2023-12-10 02:00:00,-9.9,2.1,Ice Skating,121,3
2023-12-10 03:00:00,-4.2,1.9,Snowboarding,153,1
2023-12-10 04:00:00,18.1,15.4,Snowboarding,57,3
2023-12-10 05:00:00,-23.7,7.7,Skiing,180,5
2023-12-10 06:00:00,1.9,5.4,Skiing,60,1
2023-12-10 07:00:00,-21.1,3.6,Ice Skating,116,1
2023-12-10 08:00:00,-9.7,0.9,Skiing,75,2
2023-12-10 09:00:00,5.9,19.2,Skiing,40,1
2023-12-10 10:00:00,-4.4,2.4,Skiing,48,5
2023-12-10 11:00:00,-15.8,0.6,Skiing,18,5
2023-12-10 12:00:00,-12.2,3.4,Skiing,50,5
2023-12-10 13:00:00,1.8,10.4,Skiing,72,4
2023-12-10 14:00:00,-12.3,10.9,Skiing,23,1
2023-12-10 15:00:00,-2.8,0.1,Skiing,67,1
2023-12-10 16:00:00,-4.5,10.9,Ice Skating,97,5
2023-12-10 17:00:00,-11.5,1.6,Snowboarding,106,2
2023-12-10 18:00:00,16.4,0.2,Skiing,107,1
2023-12-10 19:00:00,1.3,9.4,Ice Skating,165,4
2023-12-10 20:00:00,-25.3,10.0,Skiing,141,1
2023-12-10 21:00:00,-3.1,4.5,Skiing,171,3
2023-12-10 22:00:00,-11.6,4.3,Snowboarding,141,4
2023-12-10 23:00:00,3.5,8.4,Ice Skating,79,2
2023-12-11 00:00:00,-12.9,7.7,Skiing,195,4
2023-12-11 01:00:00,-6.1,11.0,Snowboarding,95,4
2023-12-11 02:00:00,0.0,4.0,Snowboarding,13,1
2023-12-11 03:00:00,3.7,17.2,Skiing,59,4
2023-12-11 04:00:00,-17.0,27.8,Skiing,14,5
2023-12-11 05:00:00,-8.3,0.6,Ice Skating,84,4
2023-12-11 06:00:00,-9.7,9.5,Ice Skating,54,1
2023-12-11 07:00:00,-11.5,3.5,Skiing,172,5
2023-12-11 08:00:00,12.7,2.5,Skiing,126,2
2023-12-11 09:00:00,-1.0,4.7,Snowboarding,36,3
2023-12-11 10:00:00,-17.6,0.3,Ice Skating,139,4
2023-12-11 11:00:00,4.2,3.5,Skiing,191,5
2023-12-11 12:00:00,16.2,10.2,Skiing,127,5
2023-12-11 13:00:00,5.3,1.2,Ice Skating,113,2
2023-12-11 14:00:00,-20.2,2.8,Skiing,185,2
2023-12-11 15:00:00,-9.8,14.0,Snowboarding,58,3
2023-12-11 16:00:00,7.7,2.8,Snowboarding,119,3
2023-12-11 17:00:00,-12.1,2.2,Skiing,87,1
2023-12-11 18:00:00,-0.6,2.9,Ice Skating,10,3
2023-12-11 19:00:00,2.7,3.7,Snowboarding,129,3
2023-12-11 20:00:00,-14.3,5.0,Ice Skating,170,5
2023-12-11 21:00:00,-5.6,8.1,Ice Skating,44,4
2023-12-11 22:00:00,-37.4,3.0,Ice Skating,191,4
2023-12-11 23:00:00,-15.2,8.5,Snowboarding,65,3
2023-12-12 00:00:00,,3.8,Snowboarding,152,1
2023-12-12 01:00:00,-17.5,2.1,Skiing,13,1
2023-12-12 02:00:00,11.3,5.4,Ice Skating,119,4
2023-12-12 03:00:00,-19.3,6.3,Snowboarding,93,2
2023-12-12 04:00:00,-9.4,4.1,Snowboarding,31,5
2023-12-12 05:00:00,-3.7,0.3,Skiing,33,3
2023-12-12 06:00:00,9.4,0.9,Snowboarding,184,5
2023-12-12 07:00:00,-19.4,1.7,Snowboarding,84,3
2023-12-12 08:00:00,6.6,1.7,Snowboarding,119,3
2023-12-12 09:00:00,-4.9,5.6,Skiing,143,4
2023-12-12 10:00:00,-14.8,0.1,Skiing,164,5
2023-12-12 11:00:00,-0.4,7.0,Ice Skating,147,5
2023-12-12 12:00:00,-3.0,1.5,Snowboarding,176,2
2023-12-12 13:00:00,-11.0,1.9,Skiing,119,2
2023-12-12 14:00:00,-4.3,3.8,Skiing,99,5
2023-12-12 15:00:00,-8.9,1.2,Skiing,46,2
2023-12-12 16:00:00,-3.9,10.8,Ice Skating,63,2
2023-12-12 17:00:00,1.6,0.4,Ice Skating,60,3
2023-12-12 18:00:00,10.9,2.9,Ice Skating,69,4
2023-12-12 19:00:00,-17.4,9.5,Ice Skating,81,3
2023-12-12 20:00:00,16.3,4.8,Ice Skating,137,2
2023-12-12 21:00:00,-24.5,1.7,Snowboarding,60,3
2023-12-12 22:00:00,-6.5,2.7,Snowboarding,71,3
2023-12-12 23:00:00,0.9,6.1,Skiing,58,1
2023-12-13 00:00:00,-2.2,18.1,Ice Skating,188,3
2023-12-13 01:00:00,-11.2,11.2,Ice Skating,37,3
2023-12-13 02:00:00,-7.1,2.1,Skiing,173,4
2023-12-13 03:00:00,-9.9,31.6,Snowboarding,162,5
2023-12-13 04:00:00,-10.9,0.0,Ice Skating,173,1
2023-12-13 05:00:00,3.5,0.1,Ice Skating,86,1
2023-12-13 06:00:00,-1.4,8.7,Ice Skating,197,1
2023-12-13 07:00:00,-11.9,1.1,Snowboarding,16,1
2023-12-13 08:00:00,,0.3,Snowboarding,74,4
2023-12-13 09:00:00,-1.9,1.4,Ice Skating,132,5
2023-12-13 10:00:00,3.1,2.8,Ice Skating,45,4
2023-12-13 11:00:00,1.3,6.6,Skiing,82,1
2023-12-13 12:00:00,-13.3,4.9,Skiing,39,5
2023-12-13 13:00:00,-10.6,1.4,Snowboarding,56,4
2023-12-13 14:00:00,2.5,3.5,Skiing,100,5
2023-12-13 15:00:00,1.1,13.0,Ice Skating,38,4
2023-12-13 16:00:00,-5.2,8.4,Snowboarding,14,5
2023-12-13 17:00:00,-3.8,2.0,Skiing,74,4
2023-12-13 18:00:00,7.8,20.2,Snowboarding,124,1
2023-12-13 19:00:00,-10.9,6.2,Ice Skating,72,1
2023-12-13 20:00:00,0.5,0.3,Skiing,102,1
2023-12-13 21:00:00,-7.0,0.2,Skiing,193,4
2023-12-13 22:00:00,-7.2,0.9,Skiing,26,5
2023-12-13 23:00:00,6.0,6.5,Ice Skating,136,5
2023-12-14 00:00:00,3.3,1.0,Snowboarding,60,2
2023-12-14 01:00:00,3.1,3.6,Skiing,122,3
2023-12-14 02:00:00,8.1,0.5,Snowboarding,46,1
2023-12-14 03:00:00,-4.8,12.7,Snowboarding,97,1
2023-12-14 04:00:00,1.8,2.1,Snowboarding,125,1
2023-12-14 05:00:00,-8.1,11.9,Ice Skating,134,2
2023-12-14 06:00:00,-1.8,14.5,Ice Skating,146,2
2023-12-14 07:00:00,,0.0,Skiing,47,2
2023-12-14 08:00:00,-4.0,3.1,Skiing,62,1
2023-12-14 09:00:00,1.0,0.1,Snowboarding,150,5
2023-12-14 10:00:00,,12.0,Snowboarding,99,1
2023-12-14 11:00:00,15.9,3.7,Snowboarding,62,2
2023-12-14 12:00:00,-15.1,0.4,Ice Skating,128,2
2023-12-14 13:00:00,-17.1,0.6,Ice Skating,128,3
2023-12-14 14:00:00,6.6,2.4,Skiing,58,4
2023-12-14 15:00:00,2.9,14.1,Snowboarding,131,3
2023-12-14 16:00:00,1.2,5.9,Snowboarding,79,3
2023-12-14 17:00:00,1.3,10.1,Ice Skating,172,1
2023-12-14 18:00:00,-5.1,2.3,Skiing,25,4
2023-12-14 19:00:00,-14.0,0.2,Snowboarding,22,4
2023-12-14 20:00:00,-4.2,18.3,Snowboarding,130,1
2023-12-14 21:00:00,-11.8,0.1,Skiing,148,5
2023-12-14 22:00:00,4.8,14.7,Snowboarding,96,1
2023-12-14 23:00:00,-6.5,2.3,Ice Skating,139,5
2023-12-15 00:00:00,-13.3,0.1,Skiing,103,5
2023-12-15 01:00:00,-8.2,5.8,Snowboarding,28,4
2023-12-15 02:00:00,-0.9,19.7,Snowboarding,113,1
2023-12-15 03:00:00,-10.6,16.9,Ice Skating,54,1
2023-12-15 04:00:00,-13.2,0.9,Ice Skating,183,4
2023-12-15 05:00:00,-2.6,1.0,Ice Skating,56,3
2023-12-15 06:00:00,-2.6,4.2,Snowboarding,186,1
2023-12-15 07:00:00,-10.1,5.1,Snowboarding,88,2
2023-12-15 08:00:00,-9.7,6.7,Snowboarding,51,2
2023-12-15 09:00:00,-2.7,1.0,Skiing,170,1
2023-12-15 10:00:00,-19.5,16.0,Ice Skating,117,5
2023-12-15 11:00:00,-19.1,5.1,Skiing,178,4
2023-12-15 12:00:00,-12.2,9.4,Ice Skating,128,5
2023-12-15 13:00:00,-7.1,3.9,Snowboarding,95,2
2023-12-15 14:00:00,-1.9,2.7,Skiing,120,2
2023-12-15 15:00:00,9.8,18.9,Skiing,28,4
2023-12-15 16:00:00,3.6,4.4,Ice Skating,48,2
2023-12-15 17:00:00,-6.6,10.1,Skiing,144,3
2023-12-15 18:00:00,-5.2,15.3,Skiing,48,2
2023-12-15 19:00:00,-15.0,5.6,Snowboarding,107,5
2023-12-15 20:00:00,-5.2,4.0,Ice Skating,43,5
2023-12-15 21:00:00,-7.9,0.0,Skiing,181,3
2023-12-15 22:00:00,-1.8,0.2,Snowboarding,77,5
2023-12-15 23:00:00,-13.3,1.1,Skiing,57,5
2023-12-16 00:00:00,0.2,1.0,Snowboarding,12,5
2023-12-16 01:00:00,10.3,1.5,Skiing,171,1
2023-12-16 02:00:00,-6.1,1.8,Snowboarding,122,3
2023-12-16 03:00:00,-1.0,2.2,Snowboarding,146,3
2023-12-16 04:00:00,1.9,2.7,Ice Skating,70,2
2023-12-16 05:00:00,-9.0,0.5,Snowboarding,157,3
2023-12-16 06:00:00,-2.8,0.2,Skiing,177,4
2023-12-16 07:00:00,-4.9,5.6,Snowboarding,134,3
2023-12-16 08:00:00,-4.0,3.9,Snowboarding,21,4
2023-12-16 09:00:00,-12.7,2.9,Skiing,112,5
2023-12-16 10:00:00,,5.0,Skiing,37,4
2023-12-16 11:00:00,-0.0,8.8,Snowboarding,185,1
2023-12-16 12:00:00,,2.8,Skiing,84,5
2023-12-16 13:00:00,4.6,5.1,Snowboarding,144,4
2023-12-16 14:00:00,16.5,15.3,Snowboarding,91,5
2023-12-16 15:00:00,-12.7,9.2,Snowboarding,92,1
2023-12-16 16:00:00,3.7,2.8,Skiing,151,5
2023-12-16 17:00:00,-3.2,5.2,Ice Skating,156,5
2023-12-16 18:00:00,16.9,1.0,Ice Skating,63,3
2023-12-16 19:00:00,-13.1,4.1,Snowboarding,197,2
2023-12-16 20:00:00,-13.4,19.9,Snowboarding,76,4
2023-12-16 21:00:00,-11.0,3.7,Skiing,171,2
2023-12-16 22:00:00,-26.2,13.1,Ice Skating,98,1
2023-12-16 23:00:00,-10.3,2.6,Ice Skating,178,1
2023-12-17 00:00:00,-12.6,33.8,Ice Skating,168,5
2023-12-17 01:00:00,-3.5,4.3,Skiing,176,2
2023-12-17 02:00:00,-1.6,0.2,Skiing,87,4
2023-12-17 03:00:00,13.8,4.4,Skiing,189,4
2023-12-17 04:00:00,4.5,1.6,Snowboarding,184,5
2023-12-17 05:00:00,-10.8,0.2,Skiing,29,4
2023-12-17 06:00:00,-14.0,8.6,Snowboarding,105,3
2023-12-17 07:00:00,-0.1,1.6,Snowboarding,189,2
2023-12-17 08:00:00,-18.2,8.0,Snowboarding,104,1
2023-12-17 09:00:00,13.3,1.7,Snowboarding,80,4
2023-12-17 10:00:00,6.8,1.1,Skiing,199,4
2023-12-17 11:00:00,-9.7,18.2,Skiing,142,4
2023-12-17 12:00:00,-22.1,2.2,Ice Skating,194,5
2023-12-17 13:00:00,8.5,4.6,Ice Skating,141,1
2023-12-17 14:00:00,-6.1,4.7,Snowboarding,148,2
2023-12-17 15:00:00,7.4,4.1,Ice Skating,28,4
2023-12-17 16:00:00,-20.9,12.3,Ice Skating,111,3
2023-12-17 17:00:00,,5.6,Ice Skating,36,5
2023-12-17 18:00:00,-4.9,2.6,Snowboarding,38,2
2023-12-17 19:00:00,-4.5,9.9,Ice Skating,27,4
2023-12-17 20:00:00,-9.5,1.0,Skiing,174,2
2023-12-17 21:00:00,1.2,3.9,Snowboarding,198,5
2023-12-17 22:00:00,-15.7,15.0,Skiing,184,3
2023-12-17 23:00:00,-6.4,4.9,Snowboarding,98,4
2023-12-18 00:00:00,-3.8,8.5,Skiing,29,3
2023-12-18 01:00:00,0.1,5.3,Ice Skating,79,5
2023-12-18 02:00:00,2.1,9.1,Snowboarding,109,3
2023-12-18 03:00:00,-16.2,14.5,Skiing,186,5
2023-12-18 04:00:00,-20.3,1.6,Snowboarding,152,3
2023-12-18 05:00:00,7.8,0.9,Skiing,27,2
2023-12-18 06:00:00,-1.7,3.3,Ice Skating,47,2
2023-12-18 07:00:00,-12.5,6.1,Snowboarding,129,5
2023-12-18 08:00:00,10.5,1.3,Snowboarding,98,2
2023-12-18 09:00:00,-3.8,0.0,Skiing,93,3
2023-12-18 10:00:00,6.8,2.1,Skiing,159,3
2023-12-18 11:00:00,,17.3,Ice Skating,113,4
2023-12-18 12:00:00,15.6,5.9,Skiing,197,5
2023-12-18 13:00:00,12.6,2.6,Skiing,120,2
2023-12-18 14:00:00,-7.5,1.1,Skiing,35,5
2023-12-18 15:00:00,4.7,2.2,Ice Skating,73,2
2023-12-18 16:00:00,1.5,0.9,Ice Skating,67,4
2023-12-18 17:00:00,8.7,0.6,Snowboarding,140,3
2023-12-18 18:00:00,-14.6,11.9,Ice Skating,39,3
2023-12-18 19:00:00,1.9,30.3,Skiing,28,1
2023-12-18 20:00:00,5.6,0.9,Snowboarding,19,5
2023-12-18 21:00:00,-22.6,0.3,Ice Skating,98,2
2023-12-18 22:00:00,-16.8,2.0,Ice Skating,183,1
2023-12-18 23:00:00,-25.4,3.1,Skiing,156,5
2023-12-19 00:00:00,-7.7,1.1,Skiing,136,2
2023-12-19 01:00:00,2.2,1.8,Ice Skating,195,4
2023-12-19 02:00:00,10.0,1.1,Snowboarding,133,5
2023-12-19 03:00:00,-4.3,7.4,Skiing,116,2
2023-12-19 04:00:00,11.3,6.2,Ice Skating,94,3
2023-12-19 05:00:00,-18.8,5.0,Ice Skating,15,5
2023-12-19 06:00:00,-22.0,2.4,Skiing,60,2
